dataset,target_model,budget,source,analysis_target,family,method,crc,n1,seeds,coverage_mean,coverage_variance,coverage_mse_to_target,coverage_bias,size_mean,infinite_rate_mean,expected_cost_mean,realized_cost_mean,conditional_variance_mean,split_budget_valid_rate,crc_selector_valid_rate,static_coverage_variance,static_coverage_mse_to_target,static_conditional_variance_mean,coverage_variance_ratio_to_static,coverage_mse_to_target_ratio_to_static,conditional_variance_mean_ratio_to_static
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llama_guard_20_calibration_upb_unified_aht_v2,0.8,Static,Static,False,,50,0.7968800032138824,0.0005652687091732839,0.0005636977149352023,-0.003119996786117629,91.93843963623047,0.2732133322954178,7.339020534720471,,3.7255554713095442,1.0,,0.0005652687091732839,0.0005636977149352023,3.7255554713095442,1.0,1.0,1.0
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llm-judge_qwen25_14b_instruct_20_calibration_upb_unified_aht_v2,0.8,Static,Static,False,,50,0.7954733383655548,0.000513288186226717,0.0005235130880549409,-0.0045266616344452615,175.0787139892578,0.4823066657781601,12.767386856915552,,3.787294602037855,1.0,,0.000513288186226717,0.0005235130880549409,3.787294602037855,1.0,1.0,1.0
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llama_guard_20_calibration_upb_unified_aht_v2,0.9,Endpoint/block,Endpoint/block,False,,50,0.900066670179367,0.0001361859638234609,0.00013346668945980847,6.667017936701214e-05,123.95500656127929,0.40109333395957947,20.422766963559862,,0.3666621582507348,0.08,,0.0003317824529339798,0.00032601791555013886,2.1157850945512022,0.4104676501700349,0.4093845248798372,0.17329839367665587
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llm-judge_qwen25_14b_instruct_20_calibration_upb_unified_aht_v2,0.9,Endpoint/block,Endpoint/block,False,,50,0.8964400017261505,0.00022557569590342445,0.00023373776969516744,-0.003559998273849563,188.70051330566406,0.6840333342552185,18.772889212437484,,1.3625296065123789,1.0,,0.000274968552210988,0.00027616001161602836,2.095436431204846,0.8203690716250942,0.8463852833992322,0.6502366696607178
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llama_guard_20_calibration_upb_unified_aht_v2,0.9,Endpoint/block,Endpoint/block + CRC,True,50.0,50,0.8999733328819275,0.0001876229078104306,0.00018387116078940824,-2.666711807253197e-05,124.02026062011718,0.4009266674518585,13.61915318291954,,0.7967056038958369,0.94,1.0,0.0003317824529339798,0.00032601791555013886,2.1157850945512022,0.5654997910566566,0.5639909711070169,0.3765531792182481
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llm-judge_qwen25_14b_instruct_20_calibration_upb_unified_aht_v2,0.9,Endpoint/block,Endpoint/block + CRC,True,50.0,50,0.8954400002956391,0.0004015892421918248,0.0004143510546517605,-0.00455999970436094,188.54258026123046,0.6817066669464111,12.484337604583336,,2.4081429760203883,1.0,1.0,0.000274968552210988,0.00027616001161602836,2.095436431204846,1.4604915324414214,1.5004020756918,1.1492321791101725
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llama_guard_20_calibration_upb_unified_aht_v2,0.9,Endpoint/block,Endpoint/block + CRC,True,100.0,50,0.899266664981842,0.0001575827660878021,0.00015496889101490282,-0.0007333350181579767,123.66484008789062,0.39981999814510344,17.11664364202004,,0.5598135238950417,0.8,1.0,0.0003317824529339798,0.00032601791555013886,2.1157850945512022,0.474958107923685,0.4753385738124256,0.26458902907329
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llm-judge_qwen25_14b_instruct_20_calibration_upb_unified_aht_v2,0.9,Endpoint/block,Endpoint/block + CRC,True,100.0,50,0.8969333350658417,0.0002765077926893912,0.0002803820706539996,-0.003066664934158303,188.7853338623047,0.6857799994945526,15.944737526916667,,1.8722987869518255,1.0,1.0,0.000274968552210988,0.00027616001161602836,2.095436431204846,1.0055978782519905,1.01528845184089,0.8935125681074851
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llama_guard_20_calibration_upb_unified_aht_v2,0.9,Endpoint/block,Endpoint/block + CRC,True,200.0,50,0.899720002412796,0.00012835996899082492,0.00012587116825984847,-0.00027999758720398393,123.80164749145507,0.40049333035945894,18.416251574391964,,0.5101901694667238,0.8,1.0,0.0003317824529339798,0.00032601791555013886,2.1157850945512022,0.386879920428965,0.3860866604445562,0.24113515629759397
red_team,llama_31_8B_instruct,20.0,dataset_red_team_attack_default_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_llm-judge_qwen25_14b_instruct_20_calibration_upb_unified_aht_v2,0.9,Endpoint/block,Endpoint/block + CRC,True,200.0,50,0.896760002374649,0.00026120649558790637,0.00026647995028842805,-0.0032399976253509877,188.74236633300782,0.6848066639900208,17.879126877416667,,1.8390020639393632,0.98,1.0,0.000274968552210988,0.00027616001161602836,2.095436431204846,0.9499504342863115,0.9649476357168633,0.8776224544697657
