dataset,target_model,budget,source,family,method,crc,n1,seeds,cjr_mean,cjr_variance,cjr_bias,cjr_mae,cjr_mse,rmttu_mean,rmttu_variance,rmttu_bias,rmttu_mae,rmttu_mse,expected_cost_mean,realized_cost_mean,split_budget_valid_rate,crc_selector_valid_rate,estimator_kind,static_cjr_variance,static_cjr_mse,static_cjr_mae,static_rmttu_variance,static_rmttu_mse,static_rmttu_mae,cjr_variance_ratio_to_static,cjr_mse_ratio_to_static,cjr_mae_ratio_to_static,rmttu_variance_ratio_to_static,rmttu_mse_ratio_to_static,rmttu_mae_ratio_to_static,joint_geometric_mse_ratio,joint_worst_mse_ratio
toxicity,llama_31_8B_instruct,10.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_10_m_metric_unified_aht_v1,Soft-prefix,Soft-prefix + CRC,True,100.0,50,47.167003070011,16.902701262316747,0.7836697366776579,3.1394632382914387,17.17878549325484,46.56260697516485,36.70098513811315,-1.7873750586116648,4.957580709364104,39.161675035497936,9.696458351503601,9.748026666666668,0.82,1.0,ordinary_ht,33.070475204899225,33.324278107067414,4.70666659653187,40.0727090639342,39.45095169176523,5.15837167338421,0.5111115324950848,0.5155036048511299,0.6670247772818171,0.9158598456510235,0.9926674352870509,0.9610747389421098,0.7153486152281281,0.9926674352870509
toxicity,llama_31_8B_instruct,10.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_10_m_metric_unified_aht_v1,Static,Static,False,,50,45.4266659897566,33.070475204899225,-0.9566673435767382,4.70666659653187,33.324278107067414,47.92607542954663,40.0727090639342,-0.4239066042298721,5.15837167338421,39.45095169176523,6.481372763246645,6.285386666666667,1.0,,ordinary_ht,33.070475204899225,33.324278107067414,4.70666659653187,40.0727090639342,39.45095169176523,5.15837167338421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Endpoint/block,Endpoint/block,False,,50,46.28134231763141,3.986033570440313,-0.10199101570192198,1.6539274528932146,3.9167150663154184,47.40996176844483,15.320725469116761,-0.9400202653316799,3.131943889199026,15.897949058968672,15.95882373592263,16.10762,1.0,,terminal_residual,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.326857727213075,0.32303547226204127,0.6247522775203436,0.727008297380844,0.7576108184404202,0.8800258356815219,0.4947071543102371,0.7576108184404202
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Endpoint/block,Endpoint/block + CRC,True,50.0,50,46.187694893175674,4.6736270365412125,-0.1956384401576537,1.5499201279696164,4.618428895077707,47.20716431204997,19.166712462773432,-1.1428177217265374,3.6049466197919826,20.0894105586102,12.308727453137738,12.505413333333331,1.0,1.0,terminal_residual,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.38324090452572224,0.3809101080803355,0.5854646938895447,0.9095103898335456,0.9573533490917878,1.0129319917289608,0.6038754570883172,0.9573533490917878
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Endpoint/block,Endpoint/block + CRC,True,100.0,50,46.337598246457986,4.2998389183380485,-0.04573508687535721,1.632089127041368,4.215933838142783,47.625241626980134,16.53659905829302,-0.7247404067963668,3.297030266739678,16.73111573437053,16.25968298657959,16.456513333333334,0.98,1.0,terminal_residual,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.35258999990686263,0.34771387639161466,0.6165030983986681,0.784704663631856,0.797315064850267,0.926412451308918,0.5265334860239356,0.797315064850267
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Endpoint/block,Endpoint/block + CRC,True,200.0,50,46.34173520796223,3.4544473272476726,-0.04159812537110781,1.4493162351032245,3.3870887847371103,47.344553325991676,16.128561543974364,-1.0054287077848256,3.28035840060149,16.816877199532733,17.979611638677056,18.191966666666666,0.96,1.0,terminal_residual,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.2832672585937929,0.27935395009479674,0.5474627179952918,0.7653422216149754,0.8014019954078621,0.9217279251968039,0.4731541112904319,0.8014019954078621
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Information-gain,Information-gain,False,50.0,50,46.509443609917206,8.330578591569388,0.1261102765838764,2.1229406816195717,8.179870821598064,47.76021833575576,39.50455174643752,-0.5897636980207337,4.730791347036703,39.06228193101187,20.117973239501197,20.01020666666666,0.56,,sequential,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.6831136609091543,0.6746440292842653,0.8019166884026872,1.8745937953045708,1.8614984407192556,1.329276243731047,1.1206466028830033,1.8614984407192556
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Information-gain,Information-gain,False,100.0,50,46.97264950058909,11.124146722996315,0.5893161672557679,2.5702002542647584,11.24895733352542,49.45525193562691,43.10987135218732,1.1052699018504095,4.9152299063142175,43.46929548107997,20.01951536696846,20.137286666666665,0.52,,sequential,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.9121883322878546,0.9277703849183448,0.970863903205885,2.0456755938377733,2.0715130237425647,1.3811005110239072,1.3863219090099541,2.0715130237425647
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Information-gain,Information-gain,False,200.0,50,46.39967182170006,6.563143239450603,0.016338488366722147,2.031035704375358,6.4321473208637,47.76909372658585,32.05391457807157,-0.5808883071906452,4.183353014922416,31.750267511940955,20.092469384464117,20.131406666666667,0.48,,sequential,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.5381826431491177,0.5304985714492869,0.7672006289114823,1.5210416705638072,1.513047127412567,1.1754548814249102,0.8959181545363472,1.513047127412567
toxicity,llama_31_8B_instruct,20.0,dataset_toxicity_attack_toxic_attack_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_detoxify_20_m_metric_unified_aht_v1,Information-gain,Information-gain + CRC,True,50.0,50,46.19560137823316,7.784148494533489,-0.18773195510017174,2.136846690627855,7.6637088116085526,46.908146250955035,42.2117262535699,-1.4418357828214752,5.425475765734871,43.446382153122926,18.047546483248254,18.078986666666665,0.92,1.0,sequential,12.195010974428826,12.124721284906572,2.647333210945131,21.073659715180643,20.984321596272075,3.55892266137112,0.6383059851980226,0.6320729880322034,0.8071695250878428,2.003056271387082,2.070421097665664,1.5244713869799682,1.1439655806388802,2.070421097665664
