dataset,model,budget,target,n1,crc,method,seeds,coverage_mean,coverage_var,mean_A_weight,mean_A_weight_minus1,cond_var,seq_path_var,expected_cost,realized_cost,pi_min,focus_lift,target_rate,soft_proxy,static_coverage_var,static_mean_A_weight,static_cond_var,static_expected_cost,coverage_var_ratio,mean_A_weight_ratio,cond_var_ratio
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Soft-prefix DAPRO,50,0.8058466637134551,0.0010016835016754995,2.768311680350467,1.0651313712424695,8.583883378946002,2.5751650136838005,18.973834281120972,,0.005,2.363708872293197,,2.565925720529788,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,2.0832187731734493,1.3850792469654065,2.60939996649352
autoif,llama_31_8B_instruct,20.0,0.8,50,25,Soft-prefix DAPRO + CRC,50,0.8086266672611236,0.0011039211600921538,4.413677245702789,1.7426630008677544,14.077524152342628,4.223257245702788,13.080780497474455,,0.005,2.482592916046998,,4.4804390571722505,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,2.2958442272042037,2.2083108629778376,4.279402390476681
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Endpoint/block + terminal residual AHT,50,0.7995133340358734,0.0003101324515931403,1.2594734490243011,0.58276187046507,1.9425395682169,0.58276187046507,19.916421727716507,,0.005,,,,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,0.6449879071068446,0.630156838454929,0.5905092672449508
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Endpoint/block + terminal residual AHT + CRC,50,0.7989622251192728,0.0004578113872909532,1.848908175074121,0.9042494241145651,3.01416474704855,0.9042494241145651,15.864132269583333,,0.005,,,,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,0.9521183836828904,0.9250708151892928,0.916270764960018
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Information-gain + sequential AHT,50,0.8013266706466675,0.00020472777522695336,8.563208325695646,3.034689838056301,2.2681182178915638,0.6804354653674691,19.467723394064546,,0.005,2.0743312464181405,,0.7777535984710284,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,0.42577595021724535,4.284460533671145,0.6894813618141561
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Information-gain + sequential AHT + CRC,50,0.7984066653251648,0.0002778244047772206,9.935555741604736,3.5679225539610657,3.2386055258126394,0.971581657743792,16.5134470905523,,0.005,2.106418713577122,,1.0811300088252318,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,0.5777962946475089,4.97109200616547,0.9844981318442481
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Oracle,50,0.7988466715812683,7.98421736330548e-05,0.2411933333333333,0.0,,,126.15182666666668,,,,,,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,0.16604917094585134,0.12067711987694832,
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Residual + sequential AHT,50,0.7971600043773651,0.00040123026683844954,12.014487857828648,4.199524597531493,2.4925658419762744,0.7477697525928824,19.397527605390415,,0.005,2.1406675371181176,,29.65808861128245,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,0.8344456336209365,6.0112515194421965,0.757710809595646
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Residual + sequential AHT + CRC,50,0.7983000016212464,0.0005041960386724946,13.503749731239965,4.792591080300119,3.350449727067463,1.005134918120239,16.498710702994426,,0.005,2.1964650532560195,,40.30461710123683,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,1.0485853579152726,6.756379219043454,1.0184974585036308
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Soft-prefix DAPRO,50,0.8039733338356018,0.0007095093919479194,2.2287922642554685,0.9042743719852799,6.780151991962673,2.034045597588802,19.419819044469833,,0.005,2.2898055301856393,,2.1335477934272635,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,1.475579145085701,1.115139575116942,2.061086759874032
autoif,llama_31_8B_instruct,20.0,0.8,100,50,Soft-prefix DAPRO + CRC,50,0.8092666649818421,0.0014587935073513516,3.2458822559528486,1.326117314567089,10.190940853176164,3.0572822559528494,16.511248146975127,,0.005,2.355895188717127,,3.23822811803569,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,3.0338784811915285,1.6240238347166096,3.097926608140911
autoif,llama_31_8B_instruct,20.0,0.8,200,100,Endpoint/block + terminal residual AHT,50,0.7995133340358734,0.0003101324515931403,1.2594734490243011,0.58276187046507,1.9425395682169,0.58276187046507,19.916421727716507,,0.005,,,,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,0.6449879071068446,0.630156838454929,0.5905092672449508
autoif,llama_31_8B_instruct,20.0,0.8,200,100,Endpoint/block + terminal residual AHT + CRC,50,0.7989622251192728,0.0004578113872909532,1.848908175074121,0.9042494241145651,3.01416474704855,0.9042494241145651,15.864132269583333,,0.005,,,,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,0.9521183836828904,0.9250708151892928,0.916270764960018
autoif,llama_31_8B_instruct,20.0,0.8,200,100,Information-gain + sequential AHT,50,0.8010333347320556,0.00026957926026416725,8.575766837310436,3.0699665528707003,2.5436870118026307,0.7631061035407893,19.870133249320116,,0.005,2.0464559118529277,,0.9065392448094588,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,0.5606487227763639,4.2907439785353505,0.7732510462161931
autoif,llama_31_8B_instruct,20.0,0.8,200,100,Information-gain + sequential AHT + CRC,50,0.8019466674327851,0.0003440242633071989,10.515855832260408,3.7881398944779274,3.192767557295819,0.9578302671887456,18.443794962253865,,0.005,2.064667730892127,,1.1509824419751358,0.0004808345213544689,1.9986666368842128,3.289600478718837,12.615182854647538,0.7154733032439363,5.26143561822492,0.9705639265164716
