dataset,model,budget,target,n1,crc,method,seeds,coverage_mean,coverage_var,mean_A_weight,mean_A_weight_minus1,cond_var,seq_path_var,expected_cost,realized_cost,pi_min,focus_lift,target_rate,soft_proxy
autoif,llama_31_8B_instruct,20.0,0.8,200,100,Oracle,50,0.7988466715812683,7.98421736330548e-05,0.2411933333333333,0.0,,,126.15182666666668,,,,,
autoif,llama_31_8B_instruct,20.0,0.8,200,100,Residual + sequential AHT,50,0.8034266662597657,0.0004125352663919619,11.491065421592785,4.092425374417451,2.6963991928710116,0.8089197578613035,19.84257893798096,,0.005,2.0914196694265668,,36.736813744323634
autoif,llama_31_8B_instruct,20.0,0.8,200,100,Residual + sequential AHT + CRC,50,0.7998399984836578,0.0003896337740234748,13.68113957777085,4.868875248718867,3.378952661896783,1.0136857985690348,18.45478248724056,,0.005,2.130048810950763,,45.146707168501074
autoif,llama_31_8B_instruct,20.0,0.8,200,100,Soft-prefix DAPRO,50,0.810479998588562,0.0010536648723594212,1.9456217660934325,0.8749200787504249,5.856783664755886,1.7570350994267658,19.902848738965513,,0.005,2.208172081707815,,2.0004564015082593
autoif,llama_31_8B_instruct,20.0,0.8,200,100,Soft-prefix DAPRO + CRC,50,0.8085733318328857,0.0012639956065631016,2.727238522139489,1.1769283910093622,8.455906184909407,2.5367718554728222,18.513936165879812,,0.005,2.2766495129412885,,2.9204444542290537
autoif,llama_31_8B_instruct,20.0,0.8,200,100,Static,50,0.7994000017642975,0.0004808345213544689,1.9986666368842128,0.9868801436156511,3.289600478718837,0.9868801436156511,12.615182854647538,,,,,
autoif,llama_31_8B_instruct,20.0,0.9,50,25,Endpoint/block + terminal residual AHT,50,0.899300000667572,0.0001561326366609301,0.6287342730542071,0.3209542347490052,1.069847449163351,0.3209542347490052,19.916421727716507,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.9,50,25,Endpoint/block + terminal residual AHT + CRC,50,0.8979888892173767,0.00023340101316529727,0.9294674857794882,0.5013116004945347,1.671038668315116,0.5013116004945347,15.864132269583333,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.9,50,25,Information-gain + sequential AHT,50,0.9010600030422211,0.0002525200710659268,5.138293383386752,2.1476865018026117,1.863172440288955,0.5589517320866865,20.086401501591055,,0.005,1.4494115964280296,,0.6439613547408511
autoif,llama_31_8B_instruct,20.0,0.9,50,25,Information-gain + sequential AHT + CRC,50,0.8970266652107238,0.00041760020662040065,7.108050721827375,3.001676468075297,3.344603184742441,1.0033809554227322,12.986878869189574,,0.005,1.5743000220619896,,1.1250537628208688
autoif,llama_31_8B_instruct,20.0,0.9,50,25,Oracle,50,0.8991266691684723,5.7550467621660133e-05,0.15253999999999995,0.0,,,126.15182666666668,,,,,
autoif,llama_31_8B_instruct,20.0,0.9,50,25,Residual + sequential AHT,50,0.8999333333969116,0.00020270300594454985,8.185060809932864,3.3818497129219596,2.0433174190825336,0.6129952257247602,20.120785998386054,,0.005,1.474106331620204,,23.307813230808375
autoif,llama_31_8B_instruct,20.0,0.9,50,25,Residual + sequential AHT + CRC,50,0.901013331413269,0.00041458047700572523,10.520750617825064,4.416286767143024,3.469823111983976,1.0409469335951926,13.010868754528506,,0.005,1.6453916441404608,,47.255802475658086
autoif,llama_31_8B_instruct,20.0,0.9,50,25,Soft-prefix DAPRO,50,0.9086799991130828,0.0005493104614102257,1.8211655560619815,0.8062543995524873,5.769885186873272,1.7309655560619814,20.258466227933194,,0.005,1.5688963753821474,,1.9821398331390085
autoif,llama_31_8B_instruct,20.0,0.9,50,25,Soft-prefix DAPRO + CRC,50,0.905053334236145,0.0009408179554764314,4.1299537038529675,1.8005342041201025,13.452490123954336,4.035747037186301,13.095412394018679,,0.005,1.7889983276868415,,4.436336988653678
autoif,llama_31_8B_instruct,20.0,0.9,50,25,Static,50,0.8984533369541168,0.0002386473929208645,1.0060666516751053,0.5475658660115716,1.8252195533719058,0.5475658660115716,12.615182854647538,,,,,
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Endpoint/block + terminal residual AHT,50,0.899300000667572,0.0001561326366609301,0.6287342730542071,0.3209542347490052,1.069847449163351,0.3209542347490052,19.916421727716507,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Endpoint/block + terminal residual AHT + CRC,50,0.8979888892173767,0.00023340101316529727,0.9294674857794882,0.5013116004945347,1.671038668315116,0.5013116004945347,15.864132269583333,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Information-gain + sequential AHT,50,0.9022400009632111,0.00018615427544875046,5.078742067772147,2.135306952137567,1.7714521931645324,0.5314356579493598,20.133906574128353,,0.005,1.4757984966127955,,0.6150097188579519
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Information-gain + sequential AHT + CRC,50,0.8963866686820984,0.0003046591197366187,6.658540890674525,2.7928645389418723,2.663103264197176,0.7989309792591528,16.60495273523998,,0.005,1.4512404358562712,,0.8990980816840142
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Oracle,50,0.8991266691684723,5.7550467621660133e-05,0.15253999999999995,0.0,,,126.15182666666668,,,,,
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Residual + sequential AHT,50,0.8997866690158844,0.00020186735544100215,7.717581456360278,3.1967919845536845,1.9355719903317814,0.5806715970995344,20.152743344027467,,0.005,1.4892576786953373,,23.862772626283387
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Residual + sequential AHT + CRC,50,0.9017599999904633,0.00022743329632264101,9.20149641961822,3.8471518598249794,2.6500849995028815,0.7950254998508643,16.631482325158196,,0.005,1.4755236952010962,,33.76297889975596
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Soft-prefix DAPRO,50,0.9094999980926514,0.0007590396396721295,1.322827924940101,0.6203327275064094,4.111515305355893,1.2334545916067678,20.238568219496283,,0.005,1.5721157979031488,,1.504764498159106
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Soft-prefix DAPRO + CRC,50,0.9078999972343444,0.0009775114654253883,2.28793469180059,1.0386091771752164,7.324804528224189,2.1974413584672567,16.68641674449918,,0.005,1.5687345969718836,,2.548800903291754
autoif,llama_31_8B_instruct,20.0,0.9,100,50,Static,50,0.8984533369541168,0.0002386473929208645,1.0060666516751053,0.5475658660115716,1.8252195533719058,0.5475658660115716,12.615182854647538,,,,,
autoif,llama_31_8B_instruct,20.0,0.9,200,100,Endpoint/block + terminal residual AHT,50,0.899300000667572,0.0001561326366609301,0.6287342730542071,0.3209542347490052,1.069847449163351,0.3209542347490052,19.916421727716507,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.9,200,100,Endpoint/block + terminal residual AHT + CRC,50,0.8979888892173767,0.00023340101316529727,0.9294674857794882,0.5013116004945347,1.671038668315116,0.5013116004945347,15.864132269583333,,0.005,,,
autoif,llama_31_8B_instruct,20.0,0.9,200,100,Information-gain + sequential AHT,50,0.9000533330440521,0.0002559699427317547,5.376834714146363,2.264145652699805,1.960291514567137,0.5880874543701411,20.195685949790303,,0.005,1.4876064685801456,,0.7105707989719687
autoif,llama_31_8B_instruct,20.0,0.9,200,100,Information-gain + sequential AHT + CRC,50,0.9021933341026306,0.00021506619713463571,6.349970339121264,2.7080632124384936,2.5254558189044625,0.7576367456713388,18.47423990487723,,0.005,1.4768320801809034,,0.9160250866541356
autoif,llama_31_8B_instruct,20.0,0.9,200,100,Oracle,50,0.8991266691684723,5.7550467621660133e-05,0.15253999999999995,0.0,,,126.15182666666668,,,,,
autoif,llama_31_8B_instruct,20.0,0.9,200,100,Residual + sequential AHT,50,0.9005000030994416,0.00024075389141427585,7.489110558011945,3.1307704853628286,2.1150527419804552,0.6345158225941365,20.205542174925423,,0.005,1.4937349361248007,,30.102612561034256
autoif,llama_31_8B_instruct,20.0,0.9,200,100,Residual + sequential AHT + CRC,50,0.9008133375644684,0.00025739300968056486,8.653489714590325,3.6398652503525915,2.6603550310350794,0.7981065093105237,18.489381646612095,,0.005,1.4899399303687195,,37.17878183448128
autoif,llama_31_8B_instruct,20.0,0.9,200,100,Soft-prefix DAPRO,50,0.9087733340263366,0.0006855032952242942,1.278321801865625,0.6344448213520816,3.9583837839965277,1.1875151351989581,20.248014403947767,,0.005,1.5724955122965147,,1.5018214766349198
